"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","Sample..","date","finalcon.cp.L","QualityCheck"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw3","B2",20475,0,0,"LCMB 4","2022-07-26","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw4","C2",20472,0,0,"G-PC 2","2022-08-30","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw4","D2",20475,0,0,"G-PC 2","2022-08-30","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw5","A3",20471,0,0,"G-PC 4","2022-08-30","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw5","B3",20477,0,0,"G-PC 4","2022-08-30","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw6","C3",20475,0,0,"G-PC 2","2022-09-26","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw6","D3",20471,0,0,"G-PC 2","2022-09-26","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw7","A4",20467,0,0,"G-PC 4","2022-09-26","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw7","B4",20478,0,0,"G-PC 4","2022-09-26","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","POS","C4",20475,1448.13,9522,NA,NA,"   NA","Pass"
"Stx2-lw1-lw7-hwu","M01KC222500227","NTC","D4",20471,0,0,NA,NA,"   NA","Fail"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","","Average",20464.94,262.11,1977,NA,NA,"          NA","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw1","A1",20451,5.78,51,"LCMB 4","2022-06-27","5.055394e+05","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw1","B1",20475,6.34,56,"LCMB 4","2022-06-27","5.545190e+05","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw2","C1",20476,79.7,693,"G-PC 4","2022-07-26","2.453350e+07","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw2","D1",20423,76.98,668,"G-PC 4","2022-07-26","2.369622e+07","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw3","A2",20470,0.34,3,"LCMB 4","2022-07-26","3.271137e+04","Fail"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw3","B2",20475,0.45,4,"LCMB 4","2022-07-26","4.329446e+04","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw4","C2",20475,242.32,2035,"G-PC 2","2022-08-30","1.050451e+08","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw4","D2",20467,249.21,2089,"G-PC 2","2022-08-30","1.080319e+08","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw5","A3",20474,904.46,6622,"G-PC 4","2022-08-30","7.345868e+07","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw5","B3",20477,924.1,6740,"G-PC 4","2022-08-30","7.505381e+07","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw6","C3",20472,181.64,1545,"G-PC 2","2022-09-26","2.411382e+07","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw6","D3",20468,181.92,1547,"G-PC 2","2022-09-26","2.415100e+07","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw7","A4",20472,78.31,681,"G-PC 4","2022-09-26","6.521149e+06","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw7","B4",20425,82.37,714,"G-PC 4","2022-09-26","6.859239e+06","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","POS","C4",20475,1179.83,8176,NA,NA,"          NA","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","NTC","D4",20464,0,0,NA,NA,"          NA","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","","Average",20473.44,60.14,435,NA,NA,"   NA","Pass"
"Salmonella-lw1-7-hwu","M01KC222500228","lw1","A1",20465,0,0,"LCMB 4","2022-06-27","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw1","B1",20477,0,0,"LCMB 4","2022-06-27","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw2","C1",20470,0,0,"G-PC 4","2022-07-26","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw2","D1",20465,0,0,"G-PC 4","2022-07-26","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw3","A2",20477,0,0,"LCMB 4","2022-07-26","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw3","B2",20478,0,0,"LCMB 4","2022-07-26","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw4","C2",20478,0,0,"G-PC 2","2022-08-30","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw4","D2",20474,0,0,"G-PC 2","2022-08-30","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw5","A3",20474,0,0,"G-PC 4","2022-08-30","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw5","B3",20472,0,0,"G-PC 4","2022-08-30","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw6","C3",20476,0,0,"G-PC 2","2022-09-26","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw6","D3",20473,0,0,"G-PC 2","2022-09-26","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw7","A4",20476,0,0,"G-PC 4","2022-09-26","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw7","B4",20478,0,0,"G-PC 4","2022-09-26","0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","POS","C4",20469,962.28,6962,NA,NA,"   NA","Pass"
"Salmonella-lw1-7-hwu","M01KC222500228","NTC","D4",20473,0,0,NA,NA,"   NA","Fail"
